"model","logLik","k","AIC","AIC_weight","nsim","tree_number","dataset","trait"
"ARD",-55.6300348739774,2,115.260069747955,0.119287396013807,2,34,"Jones","Cave_deposit"
"ER",-55.4033268569973,1,112.806653713995,0.416967170312319,9,35,"Jones","Cave_deposit"
"SYM",-55.4033268569973,1,112.806653713995,0.416967170312319,8,35,"Jones","Cave_deposit"
"ARD",-55.3239510988714,2,114.647902197743,0.166065659375362,3,35,"Jones","Cave_deposit"
"ER",-55.3591454666214,1,112.718290933243,0.423344391574672,9,36,"Jones","Cave_deposit"
"SYM",-55.3591454666214,1,112.718290933243,0.423344391574672,8,36,"Jones","Cave_deposit"
"ARD",-55.3748615264135,2,114.749723052827,0.153311216850656,3,36,"Jones","Cave_deposit"
"ER",-55.2515786783911,1,112.503157356782,0.422771129203229,9,37,"Jones","Cave_deposit"
"SYM",-55.2515786783911,1,112.503157356782,0.422771129203229,8,37,"Jones","Cave_deposit"
"ARD",-55.2584891035638,2,114.516978207128,0.154457741593541,3,37,"Jones","Cave_deposit"
"ER",-55.1671216396927,1,112.334243279385,0.432503321360392,9,38,"Jones","Cave_deposit"
"SYM",-55.1671216396927,1,112.334243279385,0.432503321360392,8,38,"Jones","Cave_deposit"
"ARD",-55.3314860735924,2,114.662972147185,0.134993357279216,3,38,"Jones","Cave_deposit"
"ER",-55.3449838308321,1,112.689967661664,0.440088416474128,9,39,"Jones","Cave_deposit"
"SYM",-55.3449838308321,1,112.689967661664,0.440088416474128,9,39,"Jones","Cave_deposit"
"ARD",-55.6459424360375,2,115.291884872075,0.119823167051745,2,39,"Jones","Cave_deposit"
"ER",-55.4728902468306,1,112.945780493661,0.431791103575168,9,40,"Jones","Cave_deposit"
"SYM",-55.4728902468306,1,112.945780493661,0.431791103575168,8,40,"Jones","Cave_deposit"
"ARD",-55.6251099785707,2,115.250219957141,0.136417792849663,3,40,"Jones","Cave_deposit"
"ER",-55.1746534016873,1,112.349306803375,0.432401209646582,9,41,"Jones","Cave_deposit"
"SYM",-55.1746534016873,1,112.349306803375,0.432401209646582,8,41,"Jones","Cave_deposit"
"ARD",-55.3372700156974,2,114.674540031395,0.135197580706836,3,41,"Jones","Cave_deposit"
"ER",-55.1857445361553,1,112.371489072311,0.422346965832389,9,42,"Jones","Cave_deposit"
"SYM",-55.1857445361553,1,112.371489072311,0.422346965832389,8,42,"Jones","Cave_deposit"
"ARD",-55.1861739019784,2,114.372347803957,0.155306068335223,3,42,"Jones","Cave_deposit"
"ER",-55.5691787496069,1,113.138357499214,0.434503170311533,9,43,"Jones","Cave_deposit"
"SYM",-55.5691787496069,1,113.138357499214,0.434503170311533,9,43,"Jones","Cave_deposit"
"ARD",-55.7682330704179,2,115.536466140836,0.130993659376935,2,43,"Jones","Cave_deposit"
"ER",-55.3616125062371,1,112.723225012474,0.42091454816026,9,44,"Jones","Cave_deposit"
"SYM",-55.3616125062371,1,112.723225012474,0.42091454816026,8,44,"Jones","Cave_deposit"
"ARD",-55.3403662285243,2,114.680732457049,0.158170903679479,3,44,"Jones","Cave_deposit"
"ER",-55.4172701108443,1,112.834540221689,0.416038489466688,8,45,"Jones","Cave_deposit"
"SYM",-55.4172701108443,1,112.834540221689,0.416038489466688,8,45,"Jones","Cave_deposit"
"ARD",-55.3245422231249,2,114.64908444625,0.167923021066623,4,45,"Jones","Cave_deposit"
"ER",-55.2264026089867,1,112.452805217973,0.444071047149175,9,46,"Jones","Cave_deposit"
"SYM",-55.2264026089867,1,112.452805217973,0.444071047149175,9,46,"Jones","Cave_deposit"
"ARD",-55.6051578079968,2,115.210315615994,0.111857905701651,2,46,"Jones","Cave_deposit"
"ER",-55.4657196279293,1,112.931439255859,0.431151208195703,9,47,"Jones","Cave_deposit"
"SYM",-55.4657196279293,1,112.931439255859,0.431151208195703,8,47,"Jones","Cave_deposit"
"ARD",-55.6071186302371,2,115.214237260474,0.137697583608594,3,47,"Jones","Cave_deposit"
"ER",-55.244950739597,1,112.489901479194,0.435577968479754,9,48,"Jones","Cave_deposit"
"SYM",-55.244950739597,1,112.489901479194,0.435577968479754,9,48,"Jones","Cave_deposit"
"ARD",-55.4630216924481,2,114.926043384896,0.128844063040493,2,48,"Jones","Cave_deposit"
"ER",-55.122738079116,1,112.245476158232,0.442427578764652,9,49,"Jones","Cave_deposit"
"SYM",-55.122738079116,1,112.245476158232,0.442427578764652,9,49,"Jones","Cave_deposit"
"ARD",-55.4688240307569,2,114.937648061514,0.115144842470697,2,49,"Jones","Cave_deposit"
"ER",-55.5235254383016,1,113.047050876603,0.425787900749954,9,50,"Jones","Cave_deposit"
"SYM",-55.5235254383016,1,113.047050876603,0.425787900749954,8,50,"Jones","Cave_deposit"
"ARD",-55.5773923949122,2,115.154784789824,0.148424198500093,3,50,"Jones","Cave_deposit"
