"model","logLik","k","AIC","AIC_weight","nsim","tree_number","dataset","trait"
"ER",-17.9792249290408,1,37.9584498580817,0.401379421998139,8,27,"Hand","Cave_karstic_deposit"
"SYM",-17.9792249290408,1,37.9584498580817,0.401379421998139,8,27,"Hand","Cave_karstic_deposit"
"ARD",-17.6897049762761,2,39.3794099525521,0.197241156003722,4,27,"Hand","Cave_karstic_deposit"
"ER",-18.0165147696731,1,38.0330295393462,0.405837474094742,8,28,"Hand","Cave_karstic_deposit"
"SYM",-18.0165147696731,1,38.0330295393462,0.405837474094742,8,28,"Hand","Cave_karstic_deposit"
"ARD",-17.7842980701939,2,39.5685961403878,0.188325051810516,4,28,"Hand","Cave_karstic_deposit"
"ER",-17.8826213274701,1,37.7652426549402,0.403907283843811,8,29,"Hand","Cave_karstic_deposit"
"SYM",-17.8826213274701,1,37.7652426549402,0.403907283843811,8,29,"Hand","Cave_karstic_deposit"
"ARD",-17.6253459844139,2,39.2506919688277,0.192185432312379,4,29,"Hand","Cave_karstic_deposit"
"ER",-18.2161868242363,1,38.4323736484726,0.410388152437939,8,30,"Hand","Cave_karstic_deposit"
"SYM",-18.2161868242363,1,38.4323736484726,0.410388152437939,8,30,"Hand","Cave_karstic_deposit"
"ARD",-18.0446555302928,2,40.0893110605857,0.179223695124123,4,30,"Hand","Cave_karstic_deposit"
"ER",-18.0772872991862,1,38.1545745983724,0.417312959228864,9,31,"Hand","Cave_karstic_deposit"
"SYM",-18.0772872991862,1,38.1545745983724,0.417312959228864,8,31,"Hand","Cave_karstic_deposit"
"ARD",-18.0029136726158,2,40.0058273452316,0.165374081542271,3,31,"Hand","Cave_karstic_deposit"
"ER",-17.9026297459048,1,37.8052594918096,0.40540262333003,8,32,"Hand","Cave_karstic_deposit"
"SYM",-17.9026297459048,1,37.8052594918096,0.40540262333003,8,32,"Hand","Cave_karstic_deposit"
"ARD",-17.6647335253969,2,39.3294670507939,0.18919475333994,4,32,"Hand","Cave_karstic_deposit"
"ER",-18.1879355283581,1,38.3758710567163,0.408586014678738,8,33,"Hand","Cave_karstic_deposit"
"SYM",-18.1879355283581,1,38.3758710567163,0.408586014678738,8,33,"Hand","Cave_karstic_deposit"
"ARD",-17.9920923231596,2,39.9841846463192,0.182827970642525,4,33,"Hand","Cave_karstic_deposit"
"ER",-17.8624507732534,1,37.7249015465068,0.404558329606725,8,34,"Hand","Cave_karstic_deposit"
