"node","clade_signature","trait_1_p1_mean","trait_1_p1_sd","trait_1_n_matching_trees","n_total_trees","trait_2_p1_mean","trait_2_p1_sd","trait_2_n_matching_trees","trait_1","trait_2"
40,"Pteropus_giganteus||Rhinopoma_hardwickii",0.947,0.055705127452415,50,50,0.902,0.08628382211738,50,"Echolocation","Cave_deposit"
41,"Myotis_lucifugus||Nycteris_thebaica||Pteronotus_parnellii||Saccopteryx_bilineata",0.996,0.0170233932683043,50,50,0.947,0.0710058922533467,50,"Echolocation","Cave_deposit"
42,"Myotis_lucifugus||Pteronotus_parnellii",0.993,0.0226102739876349,50,50,0.962,0.0558423436734059,50,"Echolocation","Cave_deposit"
43,"Nycteris_thebaica||Saccopteryx_bilineata",0.997,0.0119948968741048,50,50,0.919,0.0874175996850398,50,"Echolocation","Cave_deposit"
44,"Archaeonyct_brailloni||Archaeonyct_storchi||Archaeonyct_trigonodon||Hassianycteris_messelensis||Icaronyct_sigei||Icaronycteris_index||Palaeochiropteryx_tupaiodon||Protonycteris_gunnelli",0.830882352941177,0.173211512792865,34,50,0.323529411764706,0.144198565809309,34,"Echolocation","Cave_deposit"
45,"Archaeonyct_brailloni||Archaeonyct_storchi||Protonycteris_gunnelli",0.816666666666667,0.18165902124585,36,50,0.358333333333333,0.164099273089711,36,"Echolocation","Cave_deposit"
46,"Archaeonyct_brailloni||Protonycteris_gunnelli",0.81875,0.16111590031196,16,50,0.38125,0.138894444333338,16,"Echolocation","Cave_deposit"
47,"Archaeonyct_trigonodon||Hassianycteris_messelensis||Icaronyct_sigei||Icaronycteris_index||Palaeochiropteryx_tupaiodon",0.986458333333333,0.0267764252721421,48,50,0.333333333333333,0.158896906673335,48,"Echolocation","Cave_deposit"
48,"Hassianycteris_messelensis||Icaronyct_sigei||Icaronycteris_index||Palaeochiropteryx_tupaiodon",0.992857142857143,0.0204124145231932,49,50,0.336734693877551,0.157379421503973,49,"Echolocation","Cave_deposit"
49,"Hassianycteris_messelensis||Palaeochiropteryx_tupaiodon",1,0,50,50,0.345,0.14542337908216,50,"Echolocation","Cave_deposit"
50,"Icaronyct_sigei||Icaronycteris_index",1,0,21,50,0.383333333333333,0.164570147151096,21,"Echolocation","Cave_deposit"
51,"Ageina_tobieni||Eppsinycteris_anglica||Honrovits_joeli||Honrovits_tsuwape||Onychonycteris_finneyi",0.298979591836735,0.206026342348489,49,50,0.305102040816327,0.123002751476332,49,"Echolocation","Cave_deposit"
52,"Ageina_tobieni||Eppsinycteris_anglica||Honrovits_joeli||Honrovits_tsuwape",0.301063829787234,0.212768848268983,47,50,0.319148936170213,0.121830776921784,47,"Echolocation","Cave_deposit"
53,"Ageina_tobieni||Honrovits_joeli||Honrovits_tsuwape",0.3046875,0.232573046104216,32,50,0.321875,0.114256008524151,32,"Echolocation","Cave_deposit"
54,"Honrovits_joeli||Honrovits_tsuwape",0.35,0.20727509006864,28,50,0.301785714285714,0.113433079355466,28,"Echolocation","Cave_deposit"
55,"Erinaceus_europaeus||Solenodon_paradoxus||Sorex_araneus",0.01,0.0202030508910442,50,50,0.005,0.0182107839771171,50,"Echolocation","Cave_deposit"
56,"Erinaceus_europaeus||Sorex_araneus",0.021,0.032087253493166,50,50,0.018,0.0298977850520805,50,"Echolocation","Cave_deposit"
57,"Ukhaatherium_nessovi||Zalambdalestes_lechei",0,0,26,50,0,0,26,"Echolocation","Cave_deposit"
