"node","clade_signature","trait_1_p1_mean","trait_1_p1_sd","trait_1_n_matching_trees","n_total_trees","trait_2_p1_mean","trait_2_p1_sd","trait_2_n_matching_trees","trait_1","trait_2"
106,"Archaeonycteris_pollex||Archaeonycteris_trigonodon||Icaronycteris_sigei||Jaegeria_cambayensis||Palaeochiropteryx_sambuceus",0.984,0.0310365156891435,50,50,0.253,0.102723126978916,50,"Echolocation","Cave_deposit"
107,"Icaronycteris_sigei||Palaeochiropteryx_sambuceus",0.987,0.0299829883740219,50,50,0.278,0.0969746442770122,50,"Echolocation","Cave_deposit"
108,"Archaeonycteris_pollex||Archaeonycteris_trigonodon||Jaegeria_cambayensis",0.987,0.0263609172674942,50,50,0.278,0.0969746442770122,50,"Echolocation","Cave_deposit"
109,"Archaeonycteris_pollex||Archaeonycteris_trigonodon",0.999,0.00707106781186548,50,50,0.333,0.123556976859311,50,"Echolocation","Cave_deposit"
110,"Ageina_tobieni||Archaeonycteris_brailloni||Archaeonycteris_praecursor||Archaeonycteris_storchi||Dizzya_exsultans||Eppsinycteris_anglica||Hassianycteris_magna||Hassianycteris_messelensis||Honrovits_tsuwape||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sp||Lapichiropteryx_xiei||Marnenycteris_michauxi||Onychonycteris_finneyi||Palaeochiropteryx_spiegeli||Palaeochiropteryx_tupaiodon||Palaeophyllophora_tunisiensis||Philisis_sphingis||Premonycteris_vesper||Protonycteris_gunnelli||Xylonycteris_stenodon",0.968,0.0502646059593119,50,50,0.175,0.0809698860625331,50,"Echolocation","Cave_deposit"
111,"Dizzya_exsultans||Philisis_sphingis",0.966,0.0370328039909021,50,50,0.256,0.110951359079701,50,"Echolocation","Cave_deposit"
112,"Ageina_tobieni||Archaeonycteris_brailloni||Archaeonycteris_praecursor||Archaeonycteris_storchi||Eppsinycteris_anglica||Hassianycteris_magna||Hassianycteris_messelensis||Honrovits_tsuwape||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sp||Lapichiropteryx_xiei||Marnenycteris_michauxi||Onychonycteris_finneyi||Palaeochiropteryx_spiegeli||Palaeochiropteryx_tupaiodon||Palaeophyllophora_tunisiensis||Premonycteris_vesper||Protonycteris_gunnelli||Xylonycteris_stenodon",0.965,0.0536903442084747,50,50,0.18,0.0795394908975717,50,"Echolocation","Cave_deposit"
113,"Hassianycteris_magna||Hassianycteris_messelensis||Lapichiropteryx_xiei||Palaeochiropteryx_spiegeli||Palaeochiropteryx_tupaiodon",0.999,0.00707106781186548,50,50,0.32,0.11780301787479,50,"Echolocation","Cave_deposit"
114,"Palaeochiropteryx_spiegeli||Palaeochiropteryx_tupaiodon",1,0,50,50,0.329,0.124985713469294,50,"Echolocation","Cave_deposit"
115,"Hassianycteris_magna||Hassianycteris_messelensis||Lapichiropteryx_xiei",0.998,0.00989743318610788,50,50,0.326,0.110767268428458,50,"Echolocation","Cave_deposit"
116,"Hassianycteris_magna||Hassianycteris_messelensis",1,0,50,50,0.342,0.107551601284107,50,"Echolocation","Cave_deposit"
117,"Ageina_tobieni||Archaeonycteris_brailloni||Archaeonycteris_praecursor||Archaeonycteris_storchi||Eppsinycteris_anglica||Honrovits_tsuwape||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sp||Marnenycteris_michauxi||Onychonycteris_finneyi||Palaeophyllophora_tunisiensis||Premonycteris_vesper||Protonycteris_gunnelli||Xylonycteris_stenodon",0.955,0.066432411563351,50,50,0.181,0.0856487844964205,50,"Echolocation","Cave_deposit"
118,"Ageina_tobieni||Archaeonycteris_brailloni||Archaeonycteris_praecursor||Archaeonycteris_storchi||Eppsinycteris_anglica||Honrovits_tsuwape||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sp||Marnenycteris_michauxi||Onychonycteris_finneyi||Palaeophyllophora_tunisiensis||Protonycteris_gunnelli||Xylonycteris_stenodon",0.948,0.0728151139278552,50,50,0.187,0.0951958239523099,50,"Echolocation","Cave_deposit"
119,"Ageina_tobieni||Archaeonycteris_praecursor||Eppsinycteris_anglica||Honrovits_tsuwape||Marnenycteris_michauxi||Onychonycteris_finneyi||Palaeophyllophora_tunisiensis",0.662,0.168595639907793,50,50,0.217,0.102325012402957,50,"Echolocation","Cave_deposit"
120,"Ageina_tobieni||Archaeonycteris_praecursor||Eppsinycteris_anglica||Honrovits_tsuwape||Marnenycteris_michauxi||Onychonycteris_finneyi",0.567,0.168004494594882,50,50,0.226,0.105579064096582,50,"Echolocation","Cave_deposit"
121,"Archaeonycteris_praecursor||Eppsinycteris_anglica||Marnenycteris_michauxi",0.597,0.160168915937685,50,50,0.241,0.113249769112708,50,"Echolocation","Cave_deposit"
122,"Eppsinycteris_anglica||Marnenycteris_michauxi",0.61,0.156165793636253,50,50,0.246,0.105385589380046,50,"Echolocation","Cave_deposit"
123,"Ageina_tobieni||Honrovits_tsuwape||Onychonycteris_finneyi",0.384,0.177119814169473,50,50,0.235,0.101141444703616,50,"Echolocation","Cave_deposit"
124,"Ageina_tobieni||Onychonycteris_finneyi",0.243,0.177858577160023,50,50,0.25,0.105945692672795,50,"Echolocation","Cave_deposit"
125,"Archaeonycteris_brailloni||Archaeonycteris_storchi||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sp||Protonycteris_gunnelli||Xylonycteris_stenodon",0.957,0.0622781777878209,50,50,0.198,0.0989537100602796,50,"Echolocation","Cave_deposit"
